run	request_id	opcode	peer	batch_size	data_bytes	status	request_queue_us	metadata_prepare_us	taskworker_prepare_us	poller_queue_us	data_transfer_us	metadata_settle_us	response_slot_wait_us	response_submit_us	response_transfer_us	data_tm_to_hixl_execute_async_us	data_tm_to_hixl_query_handle_us	response_tm_to_hixl_execute_async_us	response_tm_to_hixl_query_handle_us	total_us
stress_b32_run01	39	0	127.0.0.1:4500	2	0	SUCCESS	63	0	2	57	0	0	59	107	42	0	0	6	6	273
stress_b32_run01	40	0	127.0.0.1:4500	2	0	SUCCESS	65	0	2	57	0	0	59	106	45	0	0	7	5	276
stress_b32_run01	41	0	127.0.0.1:4500	2	0	SUCCESS	31	0	2	61	0	0	62	102	48	0	0	6	6	245
stress_b32_run01	42	0	127.0.0.1:4500	2	0	SUCCESS	125	1	2	64	0	0	65	110	42	0	0	6	6	344
stress_b32_run01	43	0	127.0.0.1:4500	2	0	SUCCESS	148	0	2	72	0	0	73	108	45	0	0	6	6	377
stress_b32_run01	44	0	127.0.0.1:4500	2	0	SUCCESS	50	0	1	79	0	0	80	126	43	0	0	7	6	301
stress_b32_run01	45	0	127.0.0.1:4500	2	0	SUCCESS	38	0	1	102	0	0	102	102	47	0	0	6	6	290
stress_b32_run01	46	0	127.0.0.1:4500	2	0	SUCCESS	41	0	2	100	0	0	101	105	46	0	0	7	6	295
stress_b32_run01	47	0	127.0.0.1:4500	2	0	SUCCESS	45	0	2	102	0	0	103	99	44	0	0	6	5	293
stress_b32_run01	48	0	127.0.0.1:4500	2	0	SUCCESS	50	1	2	98	0	0	100	99	45	0	0	6	6	295
stress_b32_run01	49	0	127.0.0.1:4500	2	0	SUCCESS	54	0	1	95	0	0	95	103	47	0	0	6	5	301
stress_b32_run01	50	0	127.0.0.1:4500	2	0	SUCCESS	56	1	2	96	0	0	98	101	47	0	0	6	6	303
stress_b32_run01	51	0	127.0.0.1:4500	2	0	SUCCESS	67	1	2	96	0	0	97	99	48	0	0	6	6	313
stress_b32_run01	52	0	127.0.0.1:4500	2	0	SUCCESS	71	0	2	96	0	0	96	99	45	0	0	6	6	313
stress_b32_run01	53	0	127.0.0.1:4500	2	0	SUCCESS	104	1	2	98	0	0	99	104	45	0	0	7	6	354
stress_b32_run01	54	0	127.0.0.1:4500	2	0	SUCCESS	4	0	2	100	0	0	101	111	46	0	0	8	6	264
stress_b32_run01	55	0	127.0.0.1:4500	2	0	SUCCESS	8	1	2	106	0	0	108	102	45	0	0	6	6	265
stress_b32_run01	56	0	127.0.0.1:4500	2	0	SUCCESS	17	0	1	106	0	0	107	101	45	0	0	7	6	271
stress_b32_run01	57	0	127.0.0.1:4500	2	0	SUCCESS	15	0	1	104	0	0	105	101	41	0	0	6	6	263
stress_b32_run01	58	0	127.0.0.1:4500	2	0	SUCCESS	3	0	2	100	0	0	100	102	42	0	0	6	6	250
stress_b32_run01	59	0	127.0.0.1:4500	2	0	SUCCESS	152	0	2	95	0	0	96	108	43	0	0	6	6	402
stress_b32_run01	60	0	127.0.0.1:4500	2	0	SUCCESS	58	0	1	99	0	0	100	104	46	0	0	6	6	309
stress_b32_run01	61	0	127.0.0.1:4500	2	0	SUCCESS	46	0	2	101	0	0	101	108	47	0	0	8	6	304
stress_b32_run01	62	0	127.0.0.1:4500	2	0	SUCCESS	44	0	1	109	0	0	109	103	41	0	0	5	5	298
stress_b32_run01	63	0	127.0.0.1:4500	2	0	SUCCESS	52	0	2	108	0	0	108	100	43	0	0	7	6	306
stress_b32_run01	64	0	127.0.0.1:4500	2	0	SUCCESS	64	1	2	106	0	0	107	101	43	0	0	6	6	316
stress_b32_run01	33	2	127.0.0.1:4501	108	7962624	SUCCESS	150	28	235	25	359	26	2	212	492	16	5	115	90	1476
stress_b32_run01	34	2	127.0.0.1:4501	108	7962624	SUCCESS	339	14	202	15	543	22	0	185	1099	10	101	87	94	2389
stress_b32_run01	35	2	127.0.0.1:4501	108	7962624	SUCCESS	617	14	169	436	767	22	1	105	787	17	7	6	98	2468
stress_b32_run01	36	2	127.0.0.1:4501	108	7962624	SUCCESS	785	34	201	234	739	8	0	177	711	32	6	7	103	2621
stress_b32_run01	37	2	127.0.0.1:4501	108	7962624	SUCCESS	954	12	151	82	823	23	0	194	1910	9	7	95	98	4055
stress_b32_run01	31	2	127.0.0.1:4502	108	7962624	SUCCESS	1164	12	418	275	1527	22	0	165	743	34	14	14	13	4038
stress_b32_run01	38	2	127.0.0.1:4501	108	7962624	SUCCESS	929	33	188	850	1479	21	1	173	3818	31	7	73	5	6610
stress_b32_run01	39	2	127.0.0.1:4501	108	7962624	SUCCESS	1031	12	153	695	1654	22	0	190	3522	10	92	92	5	6572
stress_b32_run01	40	2	127.0.0.1:4501	108	7962624	SUCCESS	1538	37	189	85	1640	21	1	182	3010	10	68	83	5	6581
stress_b32_run01	41	2	127.0.0.1:4501	108	7962624	SUCCESS	1727	32	195	1647	2167	21	1	200	2353	33	6	6	5	6665
stress_b32_run01	42	2	127.0.0.1:4501	108	7962624	SUCCESS	1922	13	150	1495	2294	23	1	170	2161	9	7	7	6	6721
stress_b32_run01	43	2	127.0.0.1:4501	108	7962624	SUCCESS	2072	12	150	1344	2404	22	1	118	2025	9	6	6	5	6792
stress_b32_run01	44	2	127.0.0.1:4501	108	7962624	SUCCESS	2222	12	149	1194	2514	10	1	121	1873	9	6	8	5	6890
stress_b32_run01	45	2	127.0.0.1:4501	108	7962624	SUCCESS	2369	13	176	1017	2540	23	1	116	1723	26	8	6	6	6948
stress_b32_run01	46	2	127.0.0.1:4501	108	7962624	SUCCESS	2545	36	189	826	2539	24	0	123	1587	25	6	6	6	7007
stress_b32_run01	47	2	127.0.0.1:4501	108	7962624	SUCCESS	2733	17	154	672	2579	21	1	120	1509	9	6	6	5	7117
stress_b32_run01	48	2	127.0.0.1:4501	108	7962624	SUCCESS	2886	37	232	439	2539	23	0	149	1345	25	6	6	6	7174
stress_b32_run01	49	2	127.0.0.1:4501	108	7962624	SUCCESS	3117	36	199	239	2558	22	1	207	1127	15	6	6	5	7230
stress_b32_run01	50	2	127.0.0.1:4501	108	7962624	SUCCESS	3316	16	151	86	2684	22	0	212	926	8	6	6	6	7310
stress_b32_run01	51	2	127.0.0.1:4501	108	7962624	SUCCESS	3466	37	200	2717	3700	22	1	138	3559	32	6	7	7	11086
stress_b32_run01	52	2	127.0.0.1:4501	108	7962624	SUCCESS	3665	17	156	2560	3795	16	0	114	3477	9	6	6	87	11223
