bucket	run	request_id	opcode	peer	stage	value_us
ge_1000	stress_b32_run01	7	2	127.0.0.1:4501	poller_queue_us	4939
ge_1000	stress_b32_run01	7	2	127.0.0.1:4501	data_transfer_us	7714
ge_1000	stress_b32_run01	7	2	127.0.0.1:4501	response_transfer_us	3289
ge_1000	stress_b32_run01	7	2	127.0.0.1:4501	total_us	15970
ge_1000	stress_b32_run01	8	2	127.0.0.1:4501	request_queue_us	4863
ge_1000	stress_b32_run01	8	2	127.0.0.1:4501	poller_queue_us	4736
ge_1000	stress_b32_run01	8	2	127.0.0.1:4501	data_transfer_us	7656
ge_1000	stress_b32_run01	8	2	127.0.0.1:4501	response_transfer_us	3192
ge_1000	stress_b32_run01	8	2	127.0.0.1:4501	total_us	16010
ge_1000	stress_b32_run01	9	2	127.0.0.1:4501	request_queue_us	5065
ge_1000	stress_b32_run01	9	2	127.0.0.1:4501	poller_queue_us	4531
ge_1000	stress_b32_run01	9	2	127.0.0.1:4501	data_transfer_us	7594
ge_1000	stress_b32_run01	9	2	127.0.0.1:4501	response_transfer_us	3088
ge_1000	stress_b32_run01	9	2	127.0.0.1:4501	total_us	16053
ge_1000	stress_b32_run01	10	2	127.0.0.1:4501	request_queue_us	5267
ge_1000	stress_b32_run01	10	2	127.0.0.1:4501	poller_queue_us	4314
ge_1000	stress_b32_run01	10	2	127.0.0.1:4501	data_transfer_us	7522
ge_1000	stress_b32_run01	10	2	127.0.0.1:4501	response_transfer_us	2985
ge_1000	stress_b32_run01	10	2	127.0.0.1:4501	total_us	16090
ge_1000	stress_b32_run01	11	2	127.0.0.1:4501	request_queue_us	5469
ge_1000	stress_b32_run01	11	2	127.0.0.1:4501	poller_queue_us	4107
ge_1000	stress_b32_run01	11	2	127.0.0.1:4501	data_transfer_us	7455
ge_1000	stress_b32_run01	11	2	127.0.0.1:4501	response_transfer_us	2883
ge_1000	stress_b32_run01	11	2	127.0.0.1:4501	total_us	16116
ge_1000	stress_b32_run01	12	2	127.0.0.1:4501	request_queue_us	5628
ge_1000	stress_b32_run01	12	2	127.0.0.1:4501	poller_queue_us	3871
ge_1000	stress_b32_run01	12	2	127.0.0.1:4501	data_transfer_us	7364
ge_1000	stress_b32_run01	12	2	127.0.0.1:4501	response_transfer_us	2780
ge_1000	stress_b32_run01	12	2	127.0.0.1:4501	total_us	16111
ge_1000	stress_b32_run01	13	2	127.0.0.1:4501	request_queue_us	5860
ge_1000	stress_b32_run01	13	2	127.0.0.1:4501	poller_queue_us	3632
ge_1000	stress_b32_run01	13	2	127.0.0.1:4501	data_transfer_us	7280
ge_1000	stress_b32_run01	13	2	127.0.0.1:4501	response_transfer_us	2651
ge_1000	stress_b32_run01	13	2	127.0.0.1:4501	total_us	16150
ge_1000	stress_b32_run01	14	2	127.0.0.1:4501	request_queue_us	6099
ge_1000	stress_b32_run01	14	2	127.0.0.1:4501	poller_queue_us	3352
ge_1000	stress_b32_run01	14	2	127.0.0.1:4501	data_transfer_us	7160
ge_1000	stress_b32_run01	14	2	127.0.0.1:4501	response_transfer_us	2552
ge_1000	stress_b32_run01	14	2	127.0.0.1:4501	total_us	16193
ge_1000	stress_b32_run01	15	2	127.0.0.1:4501	request_queue_us	6152
ge_1000	stress_b32_run01	15	2	127.0.0.1:4501	poller_queue_us	3082
ge_1000	stress_b32_run01	15	2	127.0.0.1:4501	data_transfer_us	7036
ge_1000	stress_b32_run01	15	2	127.0.0.1:4501	response_transfer_us	2447
ge_1000	stress_b32_run01	15	2	127.0.0.1:4501	total_us	16009
ge_1000	stress_b32_run01	16	2	127.0.0.1:4501	request_queue_us	6385
ge_1000	stress_b32_run01	16	2	127.0.0.1:4501	poller_queue_us	2819
ge_1000	stress_b32_run01	16	2	127.0.0.1:4501	data_transfer_us	6922
ge_1000	stress_b32_run01	16	2	127.0.0.1:4501	response_transfer_us	2344
ge_1000	stress_b32_run01	16	2	127.0.0.1:4501	total_us	16016
ge_1000	stress_b32_run01	17	2	127.0.0.1:4501	request_queue_us	6645
ge_1000	stress_b32_run01	17	2	127.0.0.1:4501	poller_queue_us	2621
ge_1000	stress_b32_run01	17	2	127.0.0.1:4501	data_transfer_us	6865
ge_1000	stress_b32_run01	17	2	127.0.0.1:4501	response_transfer_us	2241
ge_1000	stress_b32_run01	17	2	127.0.0.1:4501	total_us	16057
ge_1000	stress_b32_run01	18	2	127.0.0.1:4501	request_queue_us	6840
ge_1000	stress_b32_run01	18	2	127.0.0.1:4501	poller_queue_us	2423
ge_1000	stress_b32_run01	18	2	127.0.0.1:4501	data_transfer_us	6826
ge_1000	stress_b32_run01	18	2	127.0.0.1:4501	response_transfer_us	2130
ge_1000	stress_b32_run01	18	2	127.0.0.1:4501	total_us	16097
ge_1000	stress_b32_run01	19	2	127.0.0.1:4501	request_queue_us	7027
ge_1000	stress_b32_run01	19	2	127.0.0.1:4501	poller_queue_us	2225
ge_1000	stress_b32_run01	19	2	127.0.0.1:4501	data_transfer_us	6773
ge_1000	stress_b32_run01	19	2	127.0.0.1:4501	response_transfer_us	2023
ge_1000	stress_b32_run01	19	2	127.0.0.1:4501	total_us	16126
ge_1000	stress_b32_run01	20	2	127.0.0.1:4501	request_queue_us	7195
ge_1000	stress_b32_run01	20	2	127.0.0.1:4501	poller_queue_us	2001
ge_1000	stress_b32_run01	20	2	127.0.0.1:4501	data_transfer_us	6695
ge_1000	stress_b32_run01	20	2	127.0.0.1:4501	response_transfer_us	1919
ge_1000	stress_b32_run01	20	2	127.0.0.1:4501	total_us	16136
ge_1000	stress_b32_run01	21	2	127.0.0.1:4501	request_queue_us	7411
ge_1000	stress_b32_run01	21	2	127.0.0.1:4501	poller_queue_us	1744
ge_1000	stress_b32_run01	21	2	127.0.0.1:4501	data_transfer_us	6579
ge_1000	stress_b32_run01	21	2	127.0.0.1:4501	response_transfer_us	1818
ge_1000	stress_b32_run01	21	2	127.0.0.1:4501	total_us	16170
ge_1000	stress_b32_run01	22	2	127.0.0.1:4501	request_queue_us	7645
ge_1000	stress_b32_run01	22	2	127.0.0.1:4501	poller_queue_us	1498
ge_1000	stress_b32_run01	22	2	127.0.0.1:4501	data_transfer_us	6480
ge_1000	stress_b32_run01	22	2	127.0.0.1:4501	response_transfer_us	1717
ge_1000	stress_b32_run01	22	2	127.0.0.1:4501	total_us	16188
ge_1000	stress_b32_run01	23	2	127.0.0.1:4501	request_queue_us	7886
ge_1000	stress_b32_run01	23	2	127.0.0.1:4501	poller_queue_us	1267
ge_1000	stress_b32_run01	23	2	127.0.0.1:4501	data_transfer_us	6389
ge_1000	stress_b32_run01	23	2	127.0.0.1:4501	response_transfer_us	1618
ge_1000	stress_b32_run01	23	2	127.0.0.1:4501	total_us	16225
ge_1000	stress_b32_run01	24	2	127.0.0.1:4501	request_queue_us	8082
ge_1000	stress_b32_run01	24	2	127.0.0.1:4501	poller_queue_us	1030
ge_1000	stress_b32_run01	24	2	127.0.0.1:4501	data_transfer_us	6291
ge_1000	stress_b32_run01	24	2	127.0.0.1:4501	response_transfer_us	1518
ge_1000	stress_b32_run01	24	2	127.0.0.1:4501	total_us	16230
