[2026-08-24 19:21:34.069126][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242445262 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.069129][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242445265 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.069133][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242445270 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.069137][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242445274 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.069140][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242445277 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.069143][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242445279 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.069146][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242445282 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.069149][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242445286 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.069156][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242445293 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.069181][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242445317 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.069184][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242445321 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.069187][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242445324 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.069190][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242445326 [878,891][transport_manager.cpp:746,GetStatus]
